CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,DELEGACIA_CRO,mesorregiao-nome,regiao-intermediaria-nome
BELO HORIZONTE,747.9110000000001,BELO HORIZONTE,1570361,587245.1329355001,9.81,10.0,7.0,9.17,A,"Dentistas: 748 → score 9.81 | Votos PL/Nikolas: 1,570,361 → score 10.0 | ROI: município médio-grande → score 7.0",BELO HORIZONTE,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
UBERLÂNDIA,1209.758,UBERLÂNDIA,415765,251487.517435,9.95,9.99,4.0,8.48,A,"Dentistas: 1210 → score 9.95 | Votos PL/Nikolas: 415,765 → score 9.99 | ROI: município grande (custo alto) → score 4.0",UBERLÂNDIA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Uberlândia
CONTAGEM,1147.277,CONTAGEM,379180,217512.24643,9.93,9.98,4.0,8.46,A,"Dentistas: 1147 → score 9.93 | Votos PL/Nikolas: 379,180 → score 9.98 | ROI: município grande (custo alto) → score 4.0",CONTAGEM,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
JUIZ DE FORA,1302.464,JUIZ DE FORA,332299,216403.742368,9.99,9.96,4.0,8.48,A,"Dentistas: 1302 → score 9.99 | Votos PL/Nikolas: 332,299 → score 9.96 | ROI: município grande (custo alto) → score 4.0",JUIZ DE FORA,Juiz de Fora,Zona da Mata,Juíz de Fora
BETIM,1289.0,BETIM,247489,159506.6605,9.98,9.95,4.0,8.47,A,"Dentistas: 1289 → score 9.98 | Votos PL/Nikolas: 247,489 → score 9.95 | ROI: município grande (custo alto) → score 4.0",BETIM,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
MONTES CLAROS,1112.659,MONTES CLAROS,233173,129721.01850350002,9.92,9.94,4.0,8.45,A,"Dentistas: 1113 → score 9.92 | Votos PL/Nikolas: 233,173 → score 9.94 | ROI: município grande (custo alto) → score 4.0",MONTES CLAROS,Montes Claros,Norte de Minas,Montes Claros
DIVINÓPOLIS,1586.0,DIVINÓPOLIS,140426,111357.81799999998,10.0,9.89,4.0,8.46,A,"Dentistas: 1586 → score 10.0 | Votos PL/Nikolas: 140,426 → score 9.89 | ROI: município grande (custo alto) → score 4.0",DIVINÓPOLIS,Divinópolis,Oeste de Minas,Divinópolis
SETE LAGOAS,1186.0,SETE LAGOAS,140180,83126.74,9.94,9.88,4.0,8.43,B,"Dentistas: 1186 → score 9.94 | Votos PL/Nikolas: 140,180 → score 9.88 | ROI: município grande (custo alto) → score 4.0",SETE LAGOAS,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
RIBEIRÃO DAS NEVES,716.0,RIBEIRÃO DAS NEVES,176038,63021.60400000001,9.79,9.92,7.0,9.14,A,"Dentistas: 716 → score 9.79 | Votos PL/Nikolas: 176,038 → score 9.92 | ROI: município médio-grande → score 7.0",RIBEIRÃO DAS NEVES,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
UBERABA,628.373,UBERABA,185861,58395.0170765,9.75,9.93,7.0,9.13,A,"Dentistas: 628 → score 9.75 | Votos PL/Nikolas: 185,861 → score 9.93 | ROI: município médio-grande → score 7.0",UBERABA,Uberaba,Triângulo Mineiro/Alto Paranaíba,Uberaba
IPATINGA,806.049,IPATINGA,138356,55760.85772199999,9.83,9.87,7.0,9.14,A,"Dentistas: 806 → score 9.83 | Votos PL/Nikolas: 138,356 → score 9.87 | ROI: município médio-grande → score 7.0",IPATINGA,Ipatinga,Vale do Rio Doce,Ipatinga
GOVERNADOR VALADARES,718.124,GOVERNADOR VALADARES,152959,54921.764458000005,9.8,9.91,7.0,9.14,A,"Dentistas: 718 → score 9.8 | Votos PL/Nikolas: 152,959 → score 9.91 | ROI: município médio-grande → score 7.0",GOVERNADOR VALADARES,Governador Valadares,Vale do Rio Doce,Governador Valadares
PATOS DE MINAS,1221.0,PATOS DE MINAS,87979,53711.1795,9.96,9.82,4.0,8.42,B,"Dentistas: 1221 → score 9.96 | Votos PL/Nikolas: 87,979 → score 9.82 | ROI: município grande (custo alto) → score 4.0",PATOS DE MINAS,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,Patos de Minas
SANTA LUZIA,662.0,SANTA LUZIA,137023,45354.613,9.76,9.86,7.0,9.1,A,"Dentistas: 662 → score 9.76 | Votos PL/Nikolas: 137,023 → score 9.86 | ROI: município médio-grande → score 7.0",SANTA LUZIA,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
POÇOS DE CALDAS,908.0,POÇOS DE CALDAS,91704,41633.616,9.89,9.83,7.0,9.15,A,"Dentistas: 908 → score 9.89 | Votos PL/Nikolas: 91,704 → score 9.83 | ROI: município médio-grande → score 7.0",POÇOS DE CALDAS,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
